作者,此人进行过的merge总数,此人merge过的库的种类数
Alexei Starovoitov ,10,10
Benson Leung ,1,1
Bjorn Helgaas ,15,15
Chris Wilson ,1,1
CK Hu ,1,1
Daniel Borkmann ,5,5
Dave Airlie ,56,53
David S. Miller ,159,132
Dmitry Torokhov ,2,2
Florian Fainelli ,1,1
Greg Kroah-Hartman ,26,26
Herbert Xu ,1,1
Ingo Molnar ,17,17
Jakub Kicinski ,7,7
Jani Nikula ,5,5
Jason Gunthorpe ,3,3
Jens Axboe ,7,7
Jiri Kosina ,2,2
Joerg Roedel ,2,2
Jonathan Corbet ,1,1
Kalle Valo ,3,3
Lee Jones ,1,1
Linus Torvalds ,507,435
Linus Walleij ,12,12
Maarten Lankhorst ,2,2
Mark Brown ,14,13
Martin K. Petersen ,1,1
Matthias Brugger ,1,1
Mauro Carvalho Chehab ,1,1
Michael Ellerman ,1,1
Mimi Zohar ,1,1
Miquel Raynal ,2,2
Olof Johansson ,112,110
Pablo Neira Ayuso ,1,1
Paolo Bonzini ,7,7
Paul E. McKenney ,1,1
Paulo Alcantara (SUSE) ,1,1
Rafael J. Wysocki ,25,25
Rob Herring ,1,1
Saeed Mahameed ,1,1
Stephen Boyd ,13,13
Takashi Iwai ,11,8
Theodore Ts'o ,1,1
Thomas Gleixner ,5,5
Thomas Richter ,1,1
Tony Lindgren ,6,5
Ulf Hansson ,2,1
Vasily Gorbik ,1,1
Vinod Koul ,2,2
Will Deacon ,4,4
Wolfram Sang ,4,4
